year,publisher_family,distinct_titles,share_selected_publishers_pct,publisher_order
2014,Konami,9,6.43,6
2014,Electronic Arts,13,9.29,3
2014,Ubisoft,24,17.14,2
2015,Atari,3,2.63,1
2015,Sega,14,12.28,7
2015,Nintendo,34,29.82,5
2015,Sony,21,18.42,4
2015,Konami,8,7.02,6
2015,Electronic Arts,18,15.79,3
2015,Ubisoft,16,14.04,2
2016,Atari,3,2.68,1
2016,Sega,12,10.71,7
2016,Nintendo,29,25.89,5
2016,Sony,34,30.36,4
2016,Konami,6,5.36,6
2016,Electronic Arts,11,9.82,3
2016,Ubisoft,17,15.18,2
2017,Atari,0,0.0,1
2017,Sega,13,13.54,7
2017,Nintendo,31,32.29,5
2017,Sony,28,29.17,4
2017,Konami,3,3.12,6
2017,Electronic Arts,8,8.33,3
2017,Ubisoft,13,13.54,2
2018,Atari,3,3.26,1
2018,Sega,15,16.3,7
2018,Nintendo,21,22.83,5
2018,Sony,19,20.65,4
2018,Konami,7,7.61,6
2018,Electronic Arts,13,14.13,3
2018,Ubisoft,14,15.22,2
2019,Atari,1,1.43,1
2019,Sega,13,18.57,7
2019,Nintendo,21,30.0,5
2019,Sony,11,15.71,4
2019,Konami,6,8.57,6
2019,Electronic Arts,9,12.86,3
2019,Ubisoft,9,12.86,2
2020,Atari,0,0.0,1
2020,Sega,16,17.78,7
2020,Nintendo,20,22.22,5
2020,Sony,24,26.67,4
2020,Konami,3,3.33,6
2020,Electronic Arts,12,13.33,3
2020,Ubisoft,15,16.67,2
2021,Atari,0,0.0,1
2021,Sega,7,21.88,7
2021,Nintendo,13,40.62,5
2021,Sony,4,12.5,4
2021,Konami,0,0.0,6
2021,Electronic Arts,6,18.75,3
2021,Ubisoft,2,6.25,2
2022,Atari,0,0.0,1
2022,Sega,3,13.64,7
2022,Nintendo,12,54.55,5
2022,Sony,4,18.18,4
2022,Konami,2,9.09,6
2022,Electronic Arts,1,4.55,3
2022,Ubisoft,0,0.0,2
2023,Atari,0,0.0,1
2023,Sega,1,7.14,7
2023,Nintendo,9,64.29,5
2023,Sony,1,7.14,4
2023,Konami,1,7.14,6
2023,Electronic Arts,2,14.29,3
2023,Ubisoft,0,0.0,2
2024,Atari,0,0.0,1
2024,Sega,0,0.0,7
2024,Nintendo,0,0.0,5
2024,Sony,2,100.0,4
2024,Konami,0,0.0,6
2024,Electronic Arts,0,0.0,3
2024,Ubisoft,0,0.0,2
