row_type,flow_id,step,x,y0,y1,node_x0,node_x1,node_y0,node_y1,label_x,label_y,publisher,genre,game_count,publisher_visible_total,publisher_full_total,publisher_top10_coverage_percent,publisher_visible_share_percent,genre_visible_total
flow,6,0,0.08,906.0,1045.0,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,1,0.108,920.4229,1059.4229,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,2,0.136,962.3806,1101.3806,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,3,0.164,1029.9062,1168.9062,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,4,0.192,1121.033,1260.033,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,5,0.22,1233.7942,1372.7942,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,6,0.248,1366.2231,1505.2231,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,7,0.276,1516.3529,1655.3529,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,8,0.304,1682.2168,1821.2168,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,9,0.332,1861.848,2000.848,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,10,0.36,2053.2798,2192.2798,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,11,0.388,2254.5455,2393.5455,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,12,0.416,2463.6782,2602.6782,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,13,0.444,2678.7112,2817.7112,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,14,0.472,2897.6778,3036.6778,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,15,0.5,3118.6111,3257.6111,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,16,0.528,3339.5444,3478.5444,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,17,0.556,3558.511,3697.511,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,18,0.584,3773.544,3912.544,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,19,0.612,3982.6767,4121.6767,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,20,0.64,4183.9424,4322.9424,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,21,0.668,4375.3742,4514.3742,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
flow,6,22,0.696,4555.0055,4694.0055,,,,,,,Sega,Role-Playing,139,1311,1486,88.2,10.6,602
