platform_rank,platform,platform_full,genre,genre_label,recorded_sales_millions,genre_share_within_platform,genre_share_of_all_recorded_sales,platform_recorded_sales_millions,platform_share_of_all_recorded_sales,sales_rows,total_rows,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1,cell_area
3,PS3,PlayStation 3,Simulation,,8.19,0.98,0.12,839.7,12.71,1348,1905,70.8,34.905,37.3674,94.9651,100.0,0,41.285,69.2107,100.0,12.398
3,PS3,PlayStation 3,Strategy,,4.95,0.59,0.07,839.7,12.71,1348,1905,70.8,37.3674,39.5685,94.9651,98.3694,0,41.285,69.2107,100.0,7.4933
3,PS3,PlayStation 3,Music,,3.86,0.46,0.06,839.7,12.71,1348,1905,70.8,39.5685,41.285,94.9651,98.3694,0,41.285,69.2107,100.0,5.8433
3,PS3,PlayStation 3,Puzzle,,1.79,0.21,0.03,839.7,12.71,1348,1905,70.8,37.3674,39.0291,98.3694,100.0,0,41.285,69.2107,100.0,2.7097
3,PS3,PlayStation 3,MMO,,1.42,0.17,0.02,839.7,12.71,1348,1905,70.8,39.0291,40.3474,98.3694,100.0,0,41.285,69.2107,100.0,2.1496
3,PS3,PlayStation 3,Visual Novel,,0.97,0.12,0.01,839.7,12.71,1348,1905,70.8,40.3474,41.285,98.3694,99.9354,0,41.285,69.2107,100.0,1.4684
3,PS3,PlayStation 3,Party,,0.04,0.0,0.0,839.7,12.71,1348,1905,70.8,40.3474,41.285,99.9354,100.0,0,41.285,69.2107,100.0,0.0606
4,PS,PlayStation,Sports,Sports,115.91,21.22,1.75,546.25,8.27,1130,2707,41.7,41.285,51.791,0,16.7014,41.285,70.8136,0,28.0037,175.4641
4,PS,PlayStation,Action,Action,78.44,14.36,1.19,546.25,8.27,1130,2707,41.7,41.285,51.791,16.7014,28.0037,41.285,70.8136,0,28.0037,118.7422
4,PS,PlayStation,Racing,Racing,77.13,14.12,1.17,546.25,8.27,1130,2707,41.7,51.791,62.6786,0,10.724,41.285,70.8136,0,28.0037,116.7591
