row_type,link_id,publisher,genre,title_count,publisher_selected_total,genre_selected_total,publisher_share_pct,x,y0,y1,x1,x2,node_label,node_count,label_x,label_y
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.556,28.6135,30.5545,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.584,30.1717,32.1127,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.612,31.6871,33.6281,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.64,33.1456,35.0866,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.668,34.5327,36.4737,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.696,35.8344,37.7754,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.724,37.0363,38.9773,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.752,38.1242,40.0652,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.78,39.0838,41.0248,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.808,39.9009,41.8419,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.836,40.5612,42.5022,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.864,41.0505,42.9915,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.892,41.3546,43.2956,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.92,41.4591,43.4001,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.08,11.3337,13.2077,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.108,11.4857,13.3598,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.136,11.928,13.8021,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.164,12.6398,14.5139,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.192,13.6005,15.4746,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.22,14.7892,16.6633,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.248,16.1852,18.0593,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.276,17.7678,19.6419,,,,,,
link,Konami → Platform,Konami,Platform,84,700,650,12,0.304,19.5163,21.3904,,,,,,
