record_type,link_id,genre,rating,count,within_genre_pct,within_rating_pct,x,y,point_order,thickness_px,node_side,node_label,node_display,node_total,x0,x1,y0,y1,label_x,label_y
link_point,Sports to M,Sports,M,10,1.3477088948787064,1.342281879194631,0.18,737,0,1.1704119850187267,,,,,,,,,,
link_point,Sports to M,Sports,M,10,1.3477088948787064,1.342281879194631,0.30799999999999994,1024.352,1,1.1704119850187267,,,,,,,,,,
link_point,Sports to M,Sports,M,10,1.3477088948787064,1.342281879194631,0.43599999999999994,1709.5760000000002,2,1.1704119850187267,,,,,,,,,,
link_point,Sports to M,Sports,M,10,1.3477088948787064,1.342281879194631,0.564,2527.424,3,1.1704119850187267,,,,,,,,,,
link_point,Sports to M,Sports,M,10,1.3477088948787064,1.342281879194631,0.692,3212.648,4,1.1704119850187267,,,,,,,,,,
link_point,Sports to M,Sports,M,10,1.3477088948787064,1.342281879194631,0.8199999999999998,3500,5,1.1704119850187267,,,,,,,,,,
link_point,Racing to E,Racing,E,358,70.19607843137254,22.153465346534652,0.18,953,0,41.90074906367041,,,,,,,,,,
link_point,Racing to E,Racing,E,358,70.19607843137254,22.153465346534652,0.30799999999999994,935.632,1,41.90074906367041,,,,,,,,,,
link_point,Racing to E,Racing,E,358,70.19607843137254,22.153465346534652,0.43599999999999994,894.216,2,41.90074906367041,,,,,,,,,,
link_point,Racing to E,Racing,E,358,70.19607843137254,22.153465346534652,0.564,844.784,3,41.90074906367041,,,,,,,,,,
link_point,Racing to E,Racing,E,358,70.19607843137254,22.153465346534652,0.692,803.3679999999999,4,41.90074906367041,,,,,,,,,,
link_point,Racing to E,Racing,E,358,70.19607843137254,22.153465346534652,0.8199999999999998,786,5,41.90074906367041,,,,,,,,,,
link_point,Racing to E10+,Racing,E10+,47,9.215686274509805,9.812108559498958,0.18,1155.5,0,5.500936329588015,,,,,,,,,,
link_point,Racing to E10+,Racing,E10+,47,9.215686274509805,9.812108559498958,0.30799999999999994,1218.004,1,5.500936329588015,,,,,,,,,,
link_point,Racing to E10+,Racing,E10+,47,9.215686274509805,9.812108559498958,0.43599999999999994,1367.0520000000001,2,5.500936329588015,,,,,,,,,,
link_point,Racing to E10+,Racing,E10+,47,9.215686274509805,9.812108559498958,0.564,1544.9479999999999,3,5.500936329588015,,,,,,,,,,
link_point,Racing to E10+,Racing,E10+,47,9.215686274509805,9.812108559498958,0.692,1693.996,4,5.500936329588015,,,,,,,,,,
link_point,Racing to E10+,Racing,E10+,47,9.215686274509805,9.812108559498958,0.8199999999999998,1756.5,5,5.500936329588015,,,,,,,,,,
link_point,Racing to T,Racing,T,95,18.627450980392158,7.468553459119496,0.18,1226.5,0,11.118913857677903,,,,,,,,,,
link_point,Racing to T,Racing,T,95,18.627450980392158,7.468553459119496,0.30799999999999994,1342.564,1,11.118913857677903,,,,,,,,,,
link_point,Racing to T,Racing,T,95,18.627450980392158,7.468553459119496,0.43599999999999994,1619.332,2,11.118913857677903,,,,,,,,,,
