Name,Platform,Year_of_Release,Genre,User_Score,User_Count
Tomb Raider,PS,1996.0,Action,8.6,147.0
Animal Crossing: City Folk,Wii,2008.0,Simulation,7.6,119.0
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,8.1,1264.0
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,8.9,968.0
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,8.4,458.0
Forza Motorsport 4,X360,2011.0,Racing,8.2,617.0
Madden NFL 2005,PS2,2004.0,Sports,7.9,78.0
Madden NFL 07,PS2,2006.0,Sports,8.2,39.0
Halo 5: Guardians,XOne,2015.0,Shooter,6.4,2438.0
Spider-Man: The Movie,PS2,2002.0,Action,7.9,41.0
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,3.4,1129.0
God of War,PS2,2005.0,Action,8.9,997.0
Splatoon,WiiU,2015.0,Shooter,8.5,1184.0
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,7.5,298.0
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,8.9,33.0
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,8.7,1109.0
Need for Speed: Most Wanted,PS2,2005.0,Racing,9.1,137.0
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,4.8,207.0
Resistance: Fall of Man,PS3,2006.0,Shooter,8.1,715.0
Kingdom Hearts II,PS2,2005.0,Role-Playing,9.0,766.0
Super Mario 3D World,WiiU,2013.0,Platform,9.0,1607.0
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,4.9,221.0
FIFA 15,PS3,2014.0,Sports,4.5,109.0
Fable II,X360,2008.0,Role-Playing,6.5,2423.0
Batman: Arkham Asylum,PS3,2009.0,Action,8.9,1122.0
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,9.3,955.0
Assassin's Creed: Revelations,PS3,2011.0,Action,7.5,613.0
Fallout 4,XOne,2015.0,Role-Playing,6.2,1749.0
FIFA 14,X360,2013.0,Sports,4.2,435.0
Daxter,PSP,2006.0,Platform,8.7,109.0
FIFA Soccer 06,PS2,2005.0,Sports,7.8,47.0
Gran Turismo 5 Prologue,PS3,2007.0,Racing,7.1,120.0
Assassin's Creed: Revelations,X360,2011.0,Action,7.2,564.0
Street Fighter IV,PS3,2009.0,Fighting,7.3,330.0
Madden NFL 2003,PS2,2002.0,Sports,7.7,65.0
Half-Life,PC,1997.0,Shooter,9.1,3161.0
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,7.9,785.0
Battlefield 1,PS4,2016.0,Shooter,8.4,809.0
God of War II,PS2,2007.0,Action,8.9,709.0
World Soccer Winning Eleven 9,PS2,2005.0,Sports,8.2,23.0
Fallout: New Vegas,X360,2010.0,Role-Playing,8.1,769.0
Forza Motorsport 2,X360,2007.0,Racing,8.3,381.0
Watch Dogs,PS4,2014.0,Action,6.3,2996.0
Tekken Tag Tournament,PS2,2000.0,Fighting,8.5,117.0
Far Cry 4,PS4,2014.0,Shooter,7.7,1653.0
Left 4 Dead 2,X360,2009.0,Shooter,8.6,681.0
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,9.2,10179.0
Assassin's Creed: Unity,PS4,2014.0,Action,4.9,2050.0
Batman: Arkham Knight,PS4,2015.0,Action,7.6,2679.0
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,8.0,1958.0
Fallout 3,PS3,2008.0,Role-Playing,8.0,910.0
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,8.8,72.0
EA Sports Active,Wii,2009.0,Sports,8.7,39.0
Tony Hawk's Underground,PS2,2003.0,Sports,8.7,121.0
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,8.7,348.0
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,8.1,9073.0
NBA 2K16,PS4,2015.0,Sports,6.7,364.0
Tekken 5,PS2,2005.0,Fighting,8.6,229.0
MotorStorm,PS3,2006.0,Racing,7.4,220.0
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,9.1,38.0
Sports Champions,PS3,2010.0,Sports,7.9,104.0
Call of Duty: Ghosts,PS4,2013.0,Shooter,3.7,1564.0
Tom Clancy's The Division,PS4,2016.0,Shooter,7.0,2219.0
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,7.5,66.0
The Sims: Unleashed,PC,2002.0,Simulation,8.0,29.0
Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,7.5,41.0
Super Paper Mario,Wii,2007.0,Platform,7.9,417.0
Spyro: Year of the Dragon,PS,2000.0,Platform,8.8,207.0
Assassin's Creed IV: Black Flag,PS3,2013.0,Action,8.1,840.0
FIFA Soccer 2005,PS2,2004.0,Sports,7.6,56.0
Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,8.5,128.0
MySims,DS,2007.0,Simulation,7.3,13.0
Midnight Club 3: DUB Edition,PSP,2005.0,Racing,8.4,31.0
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,7.9,82.0
Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,8.7,312.0
Pro Evolution Soccer 2008,PS2,2007.0,Sports,7.9,38.0
Resident Evil 4,PS2,2005.0,Action,8.9,1013.0
FIFA Soccer 10,PS3,2009.0,Sports,7.6,203.0
Star Wars: Battlefront,PS2,2004.0,Shooter,8.7,142.0
The Simpsons: Road Rage,PS2,2001.0,Racing,7.7,32.0
Luigi's Mansion,GC,2001.0,Action,8.5,161.0
Battlefield 4,PS4,2013.0,Shooter,6.9,1580.0
Star Wars: Battlefront II,PS2,2005.0,Shooter,9.0,268.0
Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,8.0,9.0
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,7.8,112.0
The Getaway,PS2,2002.0,Action,6.8,88.0
James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,7.9,48.0
FIFA Soccer 11,X360,2010.0,Sports,7.5,155.0
Left 4 Dead,X360,2008.0,Shooter,7.9,1309.0
Assassin's Creed: Unity,XOne,2014.0,Action,4.1,1005.0
Resident Evil 5,X360,2009.0,Action,7.5,523.0
Assassin's Creed: Brotherhood,X360,2010.0,Action,8.3,693.0
FIFA Soccer 2004,PS2,,Sports,6.4,76.0
Battlefield 4,PS3,2013.0,Shooter,5.8,579.0
Batman: Arkham Asylum,X360,2009.0,Action,8.7,1080.0
Battlefield 4,X360,2013.0,Shooter,5.6,542.0
Battlefield: Bad Company 2,X360,2010.0,Shooter,8.6,869.0
Borderlands,X360,2009.0,Shooter,8.2,715.0
Tekken 4,PS2,2002.0,Fighting,8.3,126.0
Grand Theft Auto 2,PS,1998.0,Action,8.0,67.0
Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,8.2,3943.0
Spider-Man 2,PS2,2004.0,Action,8.9,106.0
FIFA Soccer 2003,PS2,2002.0,Sports,6.7,35.0
LittleBigPlanet 2,PS3,2011.0,Platform,8.4,657.0
Assassin's Creed Syndicate,PS4,2015.0,Action,6.8,1319.0
LEGO Batman: The Videogame,X360,2008.0,Action,7.9,75.0
